"xsi","Data__Year","Data__臺灣地區","Data__新北市","Data__臺北市","Data__桃園市","Data__臺中市","Data__臺南市","Data__高雄市","Data__宜蘭縣","Data__新竹縣","Data__苗栗縣","Data__彰化縣","Data__南投縣","Data__雲林縣","Data__嘉義縣","Data__屏東縣","Data__臺東縣","Data__花蓮縣","Data__澎湖縣","Data__基隆市","Data__新竹市","Data__嘉義市"
"http://www.w3.org/2001/XMLSchema-instance","1998","601927","597007","822370","636337","633251","498491","597409","516174","582873","468851","490806","490497","463763","427666","535549","437861","554227","437526","571025","643108","660824"
"","1999","618159","615268","843605","633773","655427","520351","607580","552954","582122","497835","500564","531626","483167","445773","540285","458829","561486","475477","597618","667068","602183"
"","2000","620616","626527","846769","645081","605693","536291","611371","538696","613750","483060","477500","492389","488829","494710","556581","485507","610216","534794","602643","698222","610170"
"","2001","611561","617688","873794","611645","610894","511710","594793","521928","569688","479976","483686","466595","522235","460683","494802","460643","617280","497789","550254","779365","576848"
"","2002","602844","598157","879726","641019","579512","510001","579533","493447","578730","487008","487255","453966","485684","425110","552226","475193","519944","490382","527187","736320","607925"
"","2003","606015","602891","889607","623268","590147","537969","569255","527528","545293","471429","504972","464727","461572","430391","568216","495516","555185","525733","515165","738662","574156"
"","2004","613570","614816","891517","634056","577187","528521","596149","495214","564198","508247","504122","509237","499826","432208","518178","460333","555664","523129","577063","824207","554888"
"","2005","619749","617784","903993","631369","573739","513016","619268","582973","632125","509478","491825","513971","471345","477277","542534","455928","540529","499886","576498","709537","605909"
"","2006","622658","640794","879908","616000","604293","535007","606429","538742","554666","536136","480755","551534","512657","463512","527679","510039","562821","523947","567632","773629","612016"
"","2007","625045","600400","904820","637416","628109","541269","624792","533239","544600","540392","500341","446260","480781","425641","582046","549039","556072","518780","579910","809528","561289"
"","2008","619804","630951","892620","630728","588071","543344","607880","575240","612667","503885","468904","477203","480771","440921","512735","450988","525202","568988","592224","747802","581859"
"","2009","603626","598818","874274","613964","562917","529374","592749","533778","653594","514529","473854","524882","453125","422787","504113","491954","517318","500987","570207","744532","541851"
"","2010","615016","611018","884546","620417","574910","510631","616487","563231","676366","537701","470326","524426","462123","439957","523825","438229","569277","637336","589499","708718","570907"
"","2011","611134","603897","857732","622125","608943","517620","589309","487719","706198","521775","492975","485643","491566","454415","519083","490618","572461","504286","552796","774316","564644"
"","2012","621576","593540","870874","636394","610599","513493","610115","596544","694257","533647","522375","524601","476439","512942","526248","518565","586397","552056","541089","746580","659930"
"","2013","620635","605188","865669","620943","607315","542292","603276","552408","694593","544479","503357","503943","502857","469678","507200","511486","584543","539570","577483","774523","646779"
"","2014","630690","598664","881224","661559","630559","533583","609742","581188","705818","570971","516055","528358","501960","464980","506201","539536","540591","582894","541280","815221","655378"
"","2015","630905","625528","856909","650218","636497","536319","625566","596347","699110","547273","488485","486113","499630","487177","504027","486812","554393","479822","593297","742864","632104"
"","2016","636709","625442","854158","656230","645921","555292","601395","581742","666677","605666","540287","513328","520992","498680","524112","522884","601402","599587","572251","757605","665748"
"","2017","654836","645457","880960","660017","669978","575528","619097","621244","853153","559670","512473","501408","489515","487586","540774","559862","579256","533221","612649","868021","612160"
"","2018","655771","651380","843577","688785","668568","578242","634578","616852","777732","564274","516872","515302","504183","533385","555932","553548","568606","596065","605313","735939","657174"
"","2019","666577","667234","851300","718732","676565","573299","622260","589055","746372","606093","557056","535781","539300","511053","538350","534970","577619","625457","604225","824073","675137"
"","2020","680987","677203","857985","694398","680436","607939","656499","574566","820966","635919","554724","559584","540715","527046","593978","558752","597267","662320","623425","887576","702792"
"","2021","681768","670977","880983","738802","681436","589341","649432","605676","856036","604625","551209","524603","575111","510797","582499","550651","604479","517926","613018","835146","675966"
